ID,Titik 1,Moda 1,Harga 1,Titik 2,Moda 2,Harga 2,Titik 3,Moda 3,Harga 3,Titik 4,Moda 4,Harga 4,Titik 5,Moda 5,harga 5,Titik 6,Moda 6,Harga 6,Titik 7,Moda 7,Harga 7,Titik 8,Moda 8,Harga 8,Titik 9,Titik 10,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Total Harga
Rute-1,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko,Cibubur Line,6400,Kuningan,13E,3500,CSW,Jalan Kaki (Integrasi),0,Kejaksaan Agung,1,0,Blok M,,,Blok M,,,,,,,,,,12900
Rute-2,UI,TJ 4B,3500,Manggarai,Cikarang Line,3000,Sudirman,Jalan Kaki (Integrasi),0,Dukuh Atas BNI,Bundaran HI - Lebak Bulus,7000,Blok M BCA,Jalan Kaki (Integrasi),0,Blok M,,,,,,,,,,,,,,,,,,,13500
Rute-3,UI,TJ 4B,,Manggarai,Cikarang Line,,Sudirman,Jalan Kaki (Integrasi),,Dukuh Atas,1,,Bundaran Senayan,1,,Blok M,,,Blok M,,,,,,,,,,,,,,,,0
Rute-4,UI,TJ 4B,3500,Manggarai,Cikarang Line,3000,Sudirman,Jalan Kaki (Integrasi),0,Dukuh Atas,1,3500,Blok M,,0,Blok M,,,,,,,,,,,,,,,,,,,10000
Rute-5,UI,TJ 4B,3500,Manggarai,4,3500,Galunggung,Jalan Kaki (Integrasi),0,Dukuh Atas,1,0,Bundaran Senayan,1,0,Blok M,,,Blok M,,,,,,,,,,,,,,,,7000
Rute-6,UI,TJ 4B,3500,Manggarai,4,3500,Galunggung,Jalan Kaki (Integrasi),0,Dukuh Atas,1,0,Blok M,,,Blok M,,,,,,,,,,,,,,,,,,,7000
Rute-7,UI,TJ D21,3500,St. MRT Fatmawati,Jalan Kaki (Integrasi),0,Fatmawati Indomaret,Bundaran HI - Lebak Bulus,7000,Blok M BCA,,0,Blok M,,,,,,,,,,,,,,,,,,,,,,10500
Rute-8,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cikini Station,Jalan Kaki (Integrasi),0,SMPN 8,4C,3500,Bundaran Senayan 1,1P,0,Blok M Jalur 2,,,Blok M,,,,,,,,,,,,,,,,6500
Rute-9,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cikini Station,Jalan Kaki (Integrasi),0,SMPN 8,4C,3500,Bundaran Senayan 1,Bogor - Blok M,0,Terminal Blok M,,,Blok M,,,,,,,,,,,,,,,,6500
Rute-10,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Manggarai,Cikarang Line,0,Sudirman,Jalan Kaki (Integrasi),0,Stasiun Sudirman,AC52A,,Komdak 2,Jalan Kaki (Integrasi),,Komdak 1,Bogor - Blok M,,Terminal Blok M,,,Blok M,,,,,,,,,,3000
