ID,Rute Lengkap
Rute-1,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko --[Cibubur Line]--> Kuningan --[13E]--> CSW --[Jalan Kaki (Integrasi)]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-2,Start: UI --[TJ 4B]--> Manggarai --[Cikarang Line]--> Sudirman --[Jalan Kaki (Integrasi)]--> Dukuh Atas BNI --[Bundaran HI - Lebak Bulus]--> Blok M BCA --[Jalan Kaki (Selesai)]--> End: Blok M
,
Rute-4,Start: UI --[TJ 4B]--> Manggarai --[Cikarang Line]--> Sudirman --[Jalan Kaki (Integrasi)]--> Dukuh Atas --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
,
Rute-6,Start: UI --[TJ 4B]--> Manggarai --[4]--> Galunggung --[Jalan Kaki (Integrasi)]--> Dukuh Atas --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-7,Start: UI --[TJ D21]--> St. MRT Fatmawati --[Jalan Kaki (Integrasi)]--> Fatmawati Indomaret --[Lebak Bulus - Bundaran HI]--> Blok M BCA --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-8,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cikini Station --[Jalan Kaki (Integrasi)]--> SMPN 8 --[4C]--> Bundaran Senayan 1 --[1P]--> Blok M Jalur 2 --[Jalan Kaki (Selesai)]--> End: Blok M
,
,
Rute-11,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Manggarai --[Cikarang Line]--> Sudirman --[Jalan Kaki (Integrasi)]--> Dukuh Atas BNI --[Bundaran HI - Lebak Bulus]--> Blok M BCA --[Jalan Kaki (Selesai)]--> End: Blok M
,
Rute-13,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Manggarai --[Cikarang Line]--> Sudirman --[Jalan Kaki (Integrasi)]--> Dukuh Atas --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
,
Rute-15,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Manggarai --[4]--> Galunggung --[Jalan Kaki (Integrasi)]--> Dukuh Atas --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-16,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Tebet --[Jalan Kaki (Integrasi)]--> Stasiun Tebet --[6D]--> Bundaran Senayan 1 --[1P]--> Blok M Jalur 2 --[Jalan Kaki (Selesai)]--> End: Blok M
,
Rute-18,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Tanjung Barat --[Jalan Kaki (Integrasi)]--> St. Tj. Barat 2 --[D21]--> St. MRT Fatmawati --[Jalan Kaki (Integrasi)]--> Fatmawati Indomaret --[Lebak Bulus - Bundaran HI]--> Blok M BCA --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-19,Start: UI  --[D21]--> St. MRT Fatmawati --[Jalan Kaki (Integrasi)]--> Kantor Pos Fatmawati --[1E]--> Blok M BCA --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-20,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[9]--> Pancoran Arah Barat --[13B]--> CSW 1 --[Jalan Kaki (Integrasi)]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-21,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[9]--> Tegal Parang Arah Barat --[Jalan Kaki (Integrasi)]--> Tegal Mampang --[13]--> CSW --[Jalan Kaki (Integrasi)]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-22,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[9]--> Pancoran Arah Barat --[9D]--> Tegal Parang 1 --[Jalan Kaki (Integrasi)]--> Tegal Mampang --[7B]--> Blok M Jalur 2 --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-23,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[9]--> Pancoran Arah Barat --[4K]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-24,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[9]--> Pancoran Arah Barat --[9]--> Tegal Parang Arah Barat --[Jalan Kaki (Integrasi)]--> Tegal Mampang --[6V]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-25,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[9]--> Pancoran Arah Barat --[9]--> Tegal Parang Arah Barat --[Jalan Kaki (Integrasi)]--> Tegal Mampang --[7B]--> Blok M Jalur 2 --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-26,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[9]--> Pancoran Arah Barat --[9C]--> Senayan Bank Jakarta --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-27,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[9]--> Semanggi --[Jalan Kaki (Integrasi)]--> Bendungan Hilir --[Bundaran HI - Lebak Bulus]--> Blok M BCA --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-28,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[9]--> Tegal Parang Arah Barat --[Jalan Kaki (Integrasi)]--> Tegal Mampang --[7B]--> Blok M Jalur 2 --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-29,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[9C]--> Senayan Bank Jakarta --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-30,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[9C]--> Bundaran Senayan --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-31,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[4K]--> Kejaksaan Agung --[1]--> Blok M  --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-32,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko Arah Barat --[9]--> Simpang Kuningan --[Jalan Kaki (Integrasi)]--> Hotel Maharadja --[6U]--> Blok M Jalur 3 --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-33,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Tebet --[Jalan Kaki (Integrasi)]--> Stasiun Tebet --[6C]--> Kuningan --[13E]--> CSW --[Jalan Kaki (Integrasi)]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-34,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Bogor Line]--> Manggarai --[Cikarang Line]--> Sudirman --[Jalan Kaki (Integrasi)]--> Dukuh Atas BNI --[Bundaran HI - Lebak Bulus]--> Blok M BCA --[Jalan Kaki (Selesai)]--> End: Blok M
,
Rute-36,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Bogor Line]--> Manggarai --[Cikarang Line]--> Sudirman --[Jalan Kaki (Integrasi)]--> Dukuh Atas --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
,
Rute-38,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Bogor Line]--> Manggarai --[4]--> Galunggung --[Jalan Kaki (Integrasi)]--> Dukuh Atas --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-39,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko --[Cibubur Line]--> Pancoran --[Jalan Kaki (Integrasi)]--> Pancoran Arah Barat --[13B]--> CSW 1  --[Jalan Kaki (Integrasi)]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-40,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko --[Cibubur Line]--> Pancoran --[Jalan Kaki (Integrasi)]--> Pancoran Arah Barat --[9D]--> Tegal Parang 1 --[Jalan Kaki (Integrasi)]--> Tegal Mampang --[6V]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-41,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko --[Cibubur Line]--> Pancoran --[Jalan Kaki (Integrasi)]--> Pancoran Arah Barat --[9D]--> Tegal Parang 1 --[Jalan Kaki (Integrasi)]--> Tegal Mampang --[7B]--> Blok M Jalur 2 --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-42,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko --[Cibubur Line]--> Pancoran --[Jalan Kaki (Integrasi)]--> Pancoran Arah Barat --[4K]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
